date,gameId,pick,avgEdge,modelCount,totalModels,price,result,homeTeam,awayTeam
2026-01-08,55b9c478ce65e662ff4fcfbf2ba7a09a,Under 142.5,6.452739549042825,19,19,-112,l,Cal Baptist Lancers,Utah Tech Trailblazers
2026-01-08,e2da6449eb5375accf8809ead2c1c267,Under 133.5,6.035769847741556,19,19,-105,l,Towson Tigers,Hofstra Pride
2026-01-08,658de22d653d6ae005a9660a5578a5dc,Under 133.5,4.30008013229248,15,19,-110,w,Louisiana Tech Bulldogs,Liberty Flames
2026-01-09,bea7ffd2523af60d81a618055ee89706,Over 161.5,5.9374374115085145,19,19,-110,l,Green Bay Phoenix,IUPUI Jaguars
2026-01-09,e20b70c1aaf0e41f470a32dc1f961120,USC Trojans +4.5,5.913267237147673,19,19,-114,w,Minnesota Golden Gophers,USC Trojans
2026-01-09,a2c3fb169a1377ae753636402704cb50,Iona Gaels -10.5,3.5275962692402345,15,19,-114,w,Iona Gaels,Niagara Purple Eagles
2026-01-10,7cf283aa7b70769c98e48a527328fa0b,GW Revolutionaries -13.5,6.439457314235888,19,19,-120,w,GW Revolutionaries,Loyola (Chi) Ramblers
2026-01-10,ca016965c376ce33183ba5b82d768e3d,Over 148.5,4.8516373503218215,16,19,-118,l,LIU Sharks,St. Francis (PA) Red Flash
2026-01-10,38cc0306e16ca11acf0cc6fd8ae7bd72,Under 129.5,4.761730211145139,16,19,-110,l,Bradley Braves,Northern Iowa Panthers
2026-01-10,62005e2024a5dbe068b14a2b413f2dd6,Under 123.5,4.753990656556603,15,19,-106,l,Louisiana Tech Bulldogs,Delaware Blue Hens
2026-01-10,857440c249cd1b7b4121f2751cdbd732,Under 156.5,3.6873284813526097,13,19,-110,l,Creighton Bluejays,St. John's Red Storm
2026-01-11,7a82cdf1100951aeaa2277bc1f3ae336,Over 165.5,8.953895864336827,19,19,-115,w,Milwaukee Panthers,IUPUI Jaguars
2026-01-11,f9d4822070e4cb5c112f96ab1465c53e,Under 130.5,5.305437458524455,19,19,-105,w,Rider Broncs,Marist Red Foxes
2026-01-12,ed20af7a6f6ec01bf5eb397e0fe2236a,Over 165.5,7.0594232708709495,19,19,-115,l,Prairie View Panthers,Arkansas-Pine Bluff Golden Lions
2026-01-12,cf937539dde27cc8f78507a763be9c86,Under 131.5,6.611728925387001,19,19,-110,l,Norfolk St Spartans,Maryland-Eastern Shore Hawks
2026-01-12,f54426840885ce21a097f007d2eb4908,Bethune-Cookman Wildcats +1.5,6.0903696247815535,19,19,-110,l,Bethune-Cookman Wildcats,Southern Jaguars
2026-01-12,d6447cf7e2c4642536bd5b975fe1621a,Over 143.5,4.2499493469871235,14,19,-110,w,Coppin St Eagles,South Carolina St Bulldogs
2026-01-12,da8a4b3beb43be8e19c36a4b5181f48f,Over 151.5,3.56769537279516,13,19,-115,l,Alabama St Hornets,Alcorn St Braves
2026-01-13,5ecd1f93108c0fa66e243fa4e80a8b51,Under 134.5,6.953076957132924,19,19,-110,w,Clemson Tigers,Boston College Eagles
2026-01-13,ee3c7d1171d624ff8aee41d893c86647,Under 127.5,6.810499764567134,19,19,-110,l,Northern Iowa Panthers,UIC Flames
2026-01-13,102848aca43e9a1d654589791f0ed38e,Under 128.5,6.567479718278691,19,19,-110,w,Houston Cougars,West Virginia Mountaineers
2026-01-13,30efd44519a9e4fccb10b0d57b936cf1,Under 132.5,6.239489817773401,19,19,-114,w,Eastern Illinois Panthers,Western Illinois Leathernecks
2026-01-14,55d886489941b9b8cbe7c53524042fe9,Under 132.5,8.543373447498618,19,19,-112,w,Louisiana Tech Bulldogs,Middle Tennessee Blue Raiders
2026-01-14,25d806e7a97e71d5153281eb5b37f940,Under 147.5,7.07384058127982,19,19,-110,l,Indiana St Sycamores,Illinois St Redbirds
2026-01-14,3f52d7cedd94ea692664a761b62caa57,Over 154.5,4.634287020047907,14,19,-115,w,Denver Pioneers,Oral Roberts Golden Eagles
