feature,coef
away_adjTempo,5.8711942472220455
home_adjTempo,5.612730741758436
away_adjOffEff,3.96923526737591
home_adjOffEff,3.6660651755694738
home_effFgPct,0.7207923739362363
home_trnvrPct,0.4837734085817307
home_offRebPct,0.42698989877343196
away_offRebPct,0.33298982364776386
away_trnvrPct,0.32753630868966344
away_ftPct,0.320989857921242
away_effFgPct,0.20887198549779198
home_ftRate,0.19303291105915465
away_astRate,0.17158587764849692
away_threesRate,0.1497895445661175
away_benchRtg,0.11170933999947856
home_threesRate,0.1013104583391515
away_expRtg,0.09656265187838012
home_threesPct,0.070299955700822
home_expRtg,0.06348899737395215
home_blockPct,0.05603896028071848
home_oppThreesRate,0.049524542969083214
home_kpid,0.0006154517952027587
away_kpid,-0.0001415274404308809
away_oppThreesRate,-0.004509356821163556
away_defFtRate,-0.0051148606504021
away_blockPct,-0.007969358650107753
away_threesPct,-0.03269534398930283
away_ftRate,-0.03614210452213065
home_effHeight,-0.03794917481424538
home_contRtg,-0.05305019065736705
home_oppThreesPct,-0.0633734554508285
home_ftPct,-0.06841478516649548
away_effHeight,-0.07032231972906265
home_defFtRate,-0.0719201533623283
home_benchRtg,-0.07555975734426527
home_nonStlTrnvrRate,-0.07990669002388155
home_astRate,-0.11924275029435762
is_home,-0.14132727857408608
away_contRtg,-0.18086737683785287
home_defEffFgPct,-0.19212315700477647
away_oppThreesPct,-0.21836815078264227
away_defRebPct,-0.26766018333188035
home_defRebPct,-0.29384302044786037
away_stlRate,-0.3164281887663165
away_nonStlTrnvrRate,-0.32780275619964194
home_stlRate,-0.3397984230074129
away_defEffFgPct,-0.4406835930445298
is_neutral,-1.568162268730786
away_adjDefEff,-3.1390278228460153
home_adjDefEff,-3.8952848947918826
